message,timestamp,severity,tags,attributes
,2026-03-17T23:01:47.695986512Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: us-west1][0m,2026-03-17T23:01:48.680038246Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
"INFO No package manager inferred, using npm default",2026-03-17T23:01:48.695652603Z,error,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""error""}"
,2026-03-17T23:01:48.695680078Z,error,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""error""}"
,2026-03-17T23:01:49.055285498Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;2;125;86;243m╭─────────────────╮[0m,2026-03-17T23:01:49.055319480Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;2;125;86;243m│[0m Railpack 0.19.0 [38;2;125;86;243m│[0m,2026-03-17T23:01:49.055323803Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;2;125;86;243m╰─────────────────╯[0m,2026-03-17T23:01:49.055327040Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055332487Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[97m↳ Detected Php[0m,2026-03-17T23:01:49.055335856Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[97m↳ Found Laravel app[0m,2026-03-17T23:01:49.055338851Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[97m↳ Installing Node[0m,2026-03-17T23:01:49.055341933Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[97m↳ Pruning node dependencies[0m,2026-03-17T23:01:49.055344860Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
